gear,pressure,direction,gear_direction,velocity,test_over_time,test_begin_coordinate,test_end_coordinate
1,1,forward,forward,228.5714286,210,0,48000
2,1,forward,forward,282.3529412,170,0,48000
3,1,forward,forward,290.9090909,165,0,48000
4,1,forward,forward,300,160,0,48000
5,1,forward,forward,320,150,0,48000
6,1,forward,forward,533.3333333,90,0,48000
1,2,forward,forward,218.1818182,220,0,48000
2,2,forward,forward,266.6666667,180,0,48000
3,2,forward,forward,282.3529412,170,170,48000
4,2,forward,forward,290.9090909,165,0,48000
5,2,forward,forward,309.6774194,155,0,48000
6,2,forward,forward,480,100,0,48000
1,3,forward,forward,208.6956522,230,0,48000
2,3,forward,forward,252.6315789,190,0,48000
3,3,forward,forward,274.2857143,175,0,48000
4,3,forward,forward,282.3529412,170,0,48000
5,3,forward,forward,300,160,0,48000
6,3,forward,forward,436.3636364,110,0,48000
1,4,forward,forward,0,0,0,48000
2,4,forward,forward,240,200,0,48000
3,4,forward,forward,266.6666667,180,0,48000
4,4,forward,forward,274.2857143,175,0,48000
5,4,forward,forward,290.9090909,165,0,48000
6,4,forward,forward,400,120,0,48000
1,5,forward,forward,0,0,0,48000
2,5,forward,forward,234.1463415,205,0,48000
3,5,forward,forward,120,190,0,48000
4,5,forward,forward,252.6315789,190,0,48000
5,5,forward,forward,282.3529412,170,0,48000
6,5,forward,forward,369.2307692,130,0,48000
1,6,forward,forward,0,0,0,48000
2,6,forward,forward,228.5714286,210,0,48000
3,6,forward,forward,240,200,0,48000
4,6,forward,forward,240,200,0,48000
5,6,forward,forward,266.6666667,180,0,48000
6,6,forward,forward,342.8571429,140,0,48000
1,7,forward,forward,0,0,0,48000
2,7,forward,forward,218.1818182,220,0,48000
3,7,forward,forward,228.5714286,210,0,48000
4,7,forward,forward,228.5714286,210,0,48000
5,7,forward,forward,252.6315789,190,0,48000
6,7,forward,forward,320,150,0,48000
1,8,forward,forward,0,0,0,48000
2,8,forward,forward,200,240,0,48000
3,8,forward,forward,218.1818182,220,0,48000
4,8,forward,forward,218.1818182,220,0,48000
5,8,forward,forward,240,200,0,48000
6,8,forward,forward,300,160,0,48000
1,9,forward,forward,0,0,0,48000
2,9,forward,forward,0,0,0,48000
3,9,forward,forward,40,0,0,48000
4,9,forward,forward,218.1818182,220,0,48000
5,9,forward,forward,228.5714286,210,0,48000
6,9,forward,forward,282.3529412,170,0,48000
1,10,forward,forward,0,0,0,48000
2,10,forward,forward,0,0,0,48000
3,10,forward,forward,10,0,0,48000
4,10,forward,forward,208.6956522,230,0,48000
5,10,forward,forward,218.1818182,220,0,48000
6,10,forward,forward,266.6666667,180,0,48000
1,11,forward,forward,0,0,0,48000
2,11,forward,forward,0,0,0,48000
3,11,forward,forward,0,0,0,48000
4,11,forward,forward,200,240,0,48000
5,11,forward,forward,208.6956522,230,0,48000
6,11,forward,forward,252.6315789,190,0,48000
1,12,forward,forward,0,0,0,48000
2,12,forward,forward,0,0,0,48000
3,12,forward,forward,0,0,0,48000
4,12,forward,forward,192,250,0,48000
5,12,forward,forward,200,240,0,48000
6,12,forward,forward,240,200,0,48000
1,13,forward,forward,0,0,0,48000
2,13,forward,forward,0,0,0,48000
3,13,forward,forward,0,0,0,48000
4,13,forward,forward,188.2352941,255,0,48000
5,13,forward,forward,192,250,0,48000
6,13,forward,forward,234.1463415,205,0,48000
1,14,forward,forward,0,0,0,48000
2,14,forward,forward,0,0,0,48000
3,14,forward,forward,0,0,0,48000
4,14,forward,forward,0,0,0,48000
5,14,forward,forward,184.6153846,260,0,48000
6,14,forward,forward,228.5714286,210,0,48000
1,15,forward,forward,0,0,0,48000
2,15,forward,forward,0,0,0,48000
3,15,forward,forward,0,0,0,48000
4,15,forward,forward,0,0,0,48000
5,15,forward,forward,177.7777778,270,0,48000
6,15,forward,forward,223.255814,215,0,48000
1,16,forward,forward,0,0,0,48000
2,16,forward,forward,0,0,0,48000
3,16,forward,forward,0,0,0,48000
4,16,forward,forward,0,0,0,48000
5,16,forward,forward,177.7777778,270,0,48000
6,16,forward,forward,218.1818182,220,0,48000
1,17,forward,forward,0,0,0,48000
2,17,forward,forward,0,0,0,48000
3,17,forward,forward,0,0,0,48000
4,17,forward,forward,0,0,0,48000
5,17,forward,forward,165.5172414,290,0,48000
6,17,forward,forward,213.3333333,225,0,48000
1,18,forward,forward,0,0,0,48000
2,18,forward,forward,0,0,0,48000
3,18,forward,forward,0,0,0,48000
4,18,forward,forward,0,0,0,48000
5,18,forward,forward,160,300,0,48000
6,18,forward,forward,208.6956522,230,0,48000
1,19,forward,forward,0,0,0,48000
2,19,forward,forward,0,0,0,48000
3,19,forward,forward,0,0,0,48000
4,19,forward,forward,0,0,0,48000
5,19,forward,forward,154.8387097,310,0,48000
6,19,forward,forward,204.2553191,235,0,48000
1,1,backward,backward,228.5714286,210,0,48000
1,2,backward,backward,218.1818182,220,0,48000
1,3,backward,backward,208.6956522,230,0,48000
1,4,backward,backward,0,0,0,48000
1,5,backward,backward,0,0,0,48000
1,6,backward,backward,0,0,0,48000
1,7,backward,backward,0,0,0,48000
1,8,backward,backward,0,0,0,48000
1,9,backward,backward,0,0,0,48000
1,10,backward,backward,0,0,0,48000
1,11,backward,backward,0,0,0,48000
1,12,backward,backward,0,0,0,48000
1,13,backward,backward,0,0,0,48000
1,14,backward,backward,0,0,0,48000
1,15,backward,backward,0,0,0,48000
1,16,backward,backward,0,0,0,48000
1,17,backward,backward,0,0,0,48000
1,18,backward,backward,0,0,0,48000
1,19,backward,backward,0,0,0,48000
1,20,backward,backward,0,0,0,48000
1,21,backward,backward,0,0,0,48000
1,22,backward,backward,0,0,0,48000
1,23,backward,backward,0,0,0,48000
1,24,backward,backward,0,0,0,48000
1,25,backward,backward,0,0,0,48000
1,26,backward,backward,0,0,0,48000
1,27,backward,backward,0,0,0,48000
1,28,backward,backward,0,0,0,48000
1,29,backward,backward,0,0,0,48000
1,30,backward,backward,0,0,0,48000
1,31,backward,backward,0,0,0,48000
1,32,backward,backward,0,0,0,48000
1,33,backward,backward,0,0,0,48000
1,34,backward,backward,0,0,0,48000
1,35,backward,backward,0,0,0,48000
1,36,backward,backward,0,0,0,48000
1,37,backward,backward,0,0,0,48000
1,38,backward,backward,0,0,0,48000
2,1,backward,backward,282.3529412,170,0,48000
2,2,backward,backward,266.6666667,180,0,48000
2,3,backward,backward,252.6315789,190,0,48000
2,4,backward,backward,240,200,0,48000
2,5,backward,backward,228.5714286,210,0,48000
2,6,backward,backward,223.255814,215,0,48000
2,7,backward,backward,218.1818182,220,0,48000
2,8,backward,backward,200,240,0,48000
2,9,backward,backward,0,0,0,48000
2,10,backward,backward,0,0,0,48000
2,11,backward,backward,0,0,0,48000
2,12,backward,backward,0,0,0,48000
2,13,backward,backward,0,0,0,48000
2,14,backward,backward,0,0,0,48000
2,15,backward,backward,0,0,0,48000
2,16,backward,backward,0,0,0,48000
2,17,backward,backward,0,0,0,48000
2,18,backward,backward,0,0,0,48000
2,19,backward,backward,0,0,0,48000
2,20,backward,backward,0,0,0,48000
2,21,backward,backward,0,0,0,48000
2,22,backward,backward,0,0,0,48000
2,23,backward,backward,0,0,0,48000
2,24,backward,backward,0,0,0,48000
2,25,backward,backward,0,0,0,48000
2,26,backward,backward,0,0,0,48000
2,27,backward,backward,0,0,0,48000
2,28,backward,backward,0,0,0,48000
2,29,backward,backward,0,0,0,48000
2,30,backward,backward,0,0,0,48000
2,31,backward,backward,0,0,0,48000
2,32,backward,backward,0,0,0,48000
2,33,backward,backward,0,0,0,48000
2,34,backward,backward,0,0,0,48000
2,35,backward,backward,0,0,0,48000
2,36,backward,backward,0,0,0,48000
2,37,backward,backward,0,0,0,48000
2,38,backward,backward,0,0,0,48000
3,1,backward,backward,290.9090909,165,0,48000
3,2,backward,backward,282.3529412,170,0,48000
3,3,backward,backward,274.2857143,175,0,48000
3,4,backward,backward,266.6666667,180,0,48000
3,5,backward,backward,252.6315789,190,0,48000
3,6,backward,backward,240,200,0,48000
3,7,backward,backward,228.5714286,210,0,48000
3,8,backward,backward,218.1818182,220,0,48000
3,9,backward,backward,0,0,0,48000
3,10,backward,backward,0,0,0,48000
3,11,backward,backward,0,0,0,48000
3,12,backward,backward,0,0,0,48000
3,13,backward,backward,0,0,0,48000
3,14,backward,backward,0,0,0,48000
3,15,backward,backward,0,0,0,48000
3,16,backward,backward,0,0,0,48000
3,17,backward,backward,0,0,0,48000
3,18,backward,backward,0,0,0,48000
3,19,backward,backward,0,0,0,48000
3,20,backward,backward,0,0,0,48000
3,21,backward,backward,0,0,0,48000
3,22,backward,backward,0,0,0,48000
3,23,backward,backward,0,0,0,48000
3,24,backward,backward,0,0,0,48000
3,25,backward,backward,0,0,0,48000
3,26,backward,backward,0,0,0,48000
3,27,backward,backward,0,0,0,48000
3,28,backward,backward,0,0,0,48000
3,29,backward,backward,0,0,0,48000
3,30,backward,backward,0,0,0,48000
3,31,backward,backward,0,0,0,48000
3,32,backward,backward,0,0,0,48000
3,33,backward,backward,0,0,0,48000
3,34,backward,backward,0,0,0,48000
3,35,backward,backward,0,0,0,48000
3,36,backward,backward,0,0,0,48000
3,37,backward,backward,0,0,0,48000
3,38,backward,backward,0,0,0,48000
4,1,backward,backward,300,160,0,48000
4,2,backward,backward,290.9090909,165,0,48000
4,3,backward,backward,282.3529412,170,0,48000
4,4,backward,backward,274.2857143,175,0,48000
4,5,backward,backward,252.6315789,190,0,48000
4,6,backward,backward,240,200,0,48000
4,7,backward,backward,228.5714286,210,0,48000
4,8,backward,backward,218.1818182,220,0,48000
4,9,backward,backward,218.1818182,220,0,48000
4,10,backward,backward,208.6956522,230,0,48000
4,11,backward,backward,200,240,0,48000
4,12,backward,backward,192,250,0,48000
4,13,backward,backward,188.2352941,255,0,48000
4,14,backward,backward,0,0,0,48000
4,15,backward,backward,0,0,0,48000
4,16,backward,backward,0,0,0,48000
4,17,backward,backward,0,0,0,48000
4,18,backward,backward,0,0,0,48000
4,19,backward,backward,0,0,0,48000
4,20,backward,backward,0,0,0,48000
4,21,backward,backward,0,0,0,48000
4,22,backward,backward,0,0,0,48000
4,23,backward,backward,0,0,0,48000
4,24,backward,backward,0,0,0,48000
4,25,backward,backward,0,0,0,48000
4,26,backward,backward,0,0,0,48000
4,27,backward,backward,0,0,0,48000
4,28,backward,backward,0,0,0,48000
4,29,backward,backward,0,0,0,48000
4,30,backward,backward,0,0,0,48000
4,31,backward,backward,0,0,0,48000
4,32,backward,backward,0,0,0,48000
4,33,backward,backward,0,0,0,48000
4,34,backward,backward,0,0,0,48000
4,35,backward,backward,0,0,0,48000
4,36,backward,backward,0,0,0,48000
4,37,backward,backward,0,0,0,48000
4,38,backward,backward,0,0,0,48000
5,1,backward,backward,480,150,0,48000
5,2,backward,backward,400,155,0,48000
5,3,backward,backward,369.2307692,160,0,48000
5,4,backward,backward,342.8571429,165,0,48000
5,5,backward,backward,320,170,0,48000
5,6,backward,backward,300,180,0,48000
5,7,backward,backward,282.3529412,190,0,48000
5,8,backward,backward,240,200,0,48000
5,9,backward,backward,228.5714286,210,0,48000
5,10,backward,backward,218.1818182,220,0,48000
5,11,backward,backward,208.6956522,230,0,48000
5,12,backward,backward,200,240,0,48000
5,13,backward,backward,192,250,0,48000
5,14,backward,backward,184.6153846,260,0,48000
5,15,backward,backward,177.7777778,270,0,48000
5,16,backward,backward,171.4285714,280,0,48000
5,17,backward,backward,165.5172414,290,0,48000
5,18,backward,backward,160,300,0,48000
5,19,backward,backward,154.8387097,310,0,48000
5,20,backward,backward,0,0,0,48000
5,21,backward,backward,0,0,0,48000
5,22,backward,backward,0,0,0,48000
5,23,backward,backward,0,0,0,48000
5,24,backward,backward,0,0,0,48000
5,25,backward,backward,0,0,0,48000
5,26,backward,backward,0,0,0,48000
5,27,backward,backward,0,0,0,48000
5,28,backward,backward,0,0,0,48000
5,29,backward,backward,0,0,0,48000
5,30,backward,backward,0,0,0,48000
5,31,backward,backward,0,0,0,48000
5,32,backward,backward,0,0,0,48000
5,33,backward,backward,0,0,0,48000
5,34,backward,backward,0,0,0,48000
5,35,backward,backward,0,0,0,48000
5,36,backward,backward,0,0,0,48000
5,37,backward,backward,0,0,0,48000
5,38,backward,backward,0,0,0,48000
6,1,backward,backward,533.3333333,90,0,48000
6,2,backward,backward,480,100,0,48000
6,3,backward,backward,436.3636364,110,0,48000
6,4,backward,backward,400,120,0,48000
6,5,backward,backward,369.2307692,130,0,48000
6,6,backward,backward,342.8571429,140,0,48000
6,7,backward,backward,320,150,0,48000
6,8,backward,backward,300,160,0,48000
6,9,backward,backward,282.3529412,170,0,48000
6,10,backward,backward,266.6666667,180,0,48000
6,11,backward,backward,252.6315789,190,0,48000
6,12,backward,backward,240,200,0,48000
6,13,backward,backward,234.1463415,205,0,48000
6,14,backward,backward,228.5714286,210,0,48000
6,15,backward,backward,223.255814,215,0,48000
6,16,backward,backward,218.1818182,220,0,48000
6,17,backward,backward,213.3333333,225,0,48000
6,18,backward,backward,208.6956522,230,0,48000
6,19,backward,backward,204.2553191,235,0,48000
6,20,backward,backward,200,240,0,48000
6,21,backward,backward,195.9183673,245,0,48000
6,22,backward,backward,192,250,0,48000
6,23,backward,backward,188.2352941,255,0,48000
6,24,backward,backward,184.6153846,260,0,48000
6,25,backward,backward,181.1320755,265,0,48000
6,26,backward,backward,177.7777778,270,0,48000
6,27,backward,backward,174.5454545,275,0,48000
6,28,backward,backward,171.4285714,280,0,48000
6,29,backward,backward,168.4210526,285,0,48000
6,30,backward,backward,165.5172414,290,0,48000
6,31,backward,backward,162.7118644,295,0,48000
6,32,backward,backward,160,300,0,48000
6,33,backward,backward,157.3770492,305,0,48000
6,34,backward,backward,154.8387097,310,0,48000
6,35,backward,backward,152.3809524,315,0,48000
6,36,backward,backward,150,320,0,48000
6,37,backward,backward,147.6923077,325,0,48000
6,38,backward,backward,145.4545455,330,0,48000
